ASV,stat,Kingdom,Phylum,Class,Order,Family,Genus,Group_short
ASV_12,0.841,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas.A,Sal
ASV_8,0.819,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,Pedobacter,Sal
ASV_6,0.819,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,Yersinia,Sal
ASV_10,0.787,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas.F,Sal
ASV_5,0.738,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,Erwinia,Sal
ASV_13,0.724,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,Curtobacterium,Sal
ASV_11,0.812,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,Microbacterium,Temp
ASV_1,0.802,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chromobacteriaceae,Chromobacterium,Temp
ASV_2,0.737,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,Chryseobacterium,Temp
ASV_5,0.907,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,Erwinia,pHSal
ASV_13,0.872,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,Curtobacterium,pHSal
ASV_3,0.864,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,Serratia,pHSal
ASV_4,0.859,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,Aeromonas,pHSal
ASV_12,0.846,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas.A,pHSal
ASV_6,0.83,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,Yersinia,pHSal
ASV_8,0.729,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,Pedobacter,pHSal
ASV_10,0.803,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas.F,pHTemp
ASV_1,0.803,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chromobacteriaceae,Chromobacterium,pHTemp
ASV_2,0.732,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,Chryseobacterium,pHTemp
ASV_12,0.688,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas.A,pHTemp
ASV_13,0.517,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,Curtobacterium,pHTemp
ASV_10,0.843,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas.F,SalTemp
ASV_11,0.803,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,Microbacterium,SalTemp
ASV_1,0.795,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chromobacteriaceae,Chromobacterium,SalTemp
ASV_2,0.713,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,Chryseobacterium,SalTemp
ASV_11,0.797,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,Microbacterium,pHSalTemp
ASV_1,0.783,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chromobacteriaceae,Chromobacterium,pHSalTemp
ASV_2,0.754,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,Chryseobacterium,pHSalTemp
