"Id","Rep","TempLevel","pH_Level","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"D14","3",38,6,"fits_baranyi_without_lag",32.4386204489335,"log10_n0",-1.34687339847631,0.17786715637238,-7.5723558297436,2.39163184415515e-08
"D14","3",38,6,"fits_baranyi_without_lag",32.4386204489335,"mumax",0.00170699691951865,0.00131460660229699,1.29848497378307,0.204352106055953
"D14","1",38,7.2,"fits_baranyi_without_lag",-0.535539319632637,"log10_nmax",-0.546486450192233,0.11733483268805,-4.65749545699816,6.56593131697228e-05
"D14","1",38,7.2,"fits_baranyi_without_lag",-0.535539319632637,"log10_n0",-1.36216497743915,0.100893601644469,-13.5010045754852,4.91207675306301e-14
"D14","1",38,7.2,"fits_baranyi_without_lag",-0.535539319632637,"mumax",0.00175944230064041,0.000594281133590303,2.96062284530366,0.00606545504590954
"D14","2",38,7.2,"fits_baranyi_without_lag",3.37944440135796,"log10_nmax",-0.525468501420404,0.141874377332671,-3.70375899651189,0.000888514805541905
"D14","2",38,7.2,"fits_baranyi_without_lag",3.37944440135796,"log10_n0",-1.34492761100907,0.104284367264947,-12.896732715385,1.54257289715193e-13
"D14","2",38,7.2,"fits_baranyi_without_lag",3.37944440135796,"mumax",0.00159329741413621,0.000587915255848214,2.7100800638988,0.0111771802085958
"D14","3",38,7.2,"fits_baranyi_without_lag",3.54270131813907,"log10_nmax",-0.509418880335618,0.135159850420239,-3.76901038845287,0.000746212626763473
"D14","3",38,7.2,"fits_baranyi_without_lag",3.54270131813907,"log10_n0",-1.34846961608568,0.105190386871462,-12.8193236681737,1.7910789488869e-13
"D14","3",38,7.2,"fits_baranyi_without_lag",3.54270131813907,"mumax",0.00166847983290945,0.000590418571020611,2.82592708766812,0.00844841365421536
"D14","1",38,8,"fits_baranyi_without_lag",-100.248571326909,"log10_nmax",0,54.8253211071757,0,1
"D14","1",38,8,"fits_baranyi_without_lag",-100.248571326909,"log10_n0",-1.3670802189005,0.0188136920980164,-72.6641114236496,2.29144857498045e-34
"D14","1",38,8,"fits_baranyi_without_lag",-100.248571326909,"mumax",9.00261927709606e-05,0.000581108887372878,0.154921383456994,0.877956532286821
"D14","2",38,8,"fits_baranyi_without_lag",-85.077282775038,"log10_nmax",0,39.4971847776574,0,1
"D14","2",38,8,"fits_baranyi_without_lag",-85.077282775038,"log10_n0",-1.36633608207944,0.0237732198737984,-57.4737494261493,1.96735808427347e-31
"D14","2",38,8,"fits_baranyi_without_lag",-85.077282775038,"mumax",0.000117039566914957,0.000567596359158075,0.206202110049761,0.838073874640204
"D14","3",38,8,"fits_baranyi_without_lag",-85.1666980917657,"log10_nmax",0,32.3099905346189,0,1
"D14","3",38,8,"fits_baranyi_without_lag",-85.1666980917657,"log10_n0",-1.37807039834116,0.0237043958732778,-58.1356473165666,1.41536311832089e-31
"D14","3",38,8,"fits_baranyi_without_lag",-85.1666980917657,"mumax",0.000129861970628234,0.000510585893395097,0.254339127477119,0.801028414297977
"D14","1",38,9,"fits_baranyi_without_lag",33.5182611013548,"log10_nmax",-0.789994346103394,0.151481818155208,-5.21511000940037,1.39503998233978e-05
