,Id,estimate,TempLevel,SalinityLevel,pH_Level,Rep
436,I22,0.003062825,38,25,5.5,1
437,I22,0.00189506,38,25,5.5,2
438,I22,0.002046854,38,25,5.5,3
439,I22,0.003659171,20,10,5.5,1
440,I22,0.003519224,20,10,5.5,2
441,I22,0.003477985,20,10,5.5,3
442,I22,0.002678049,20,30,5.5,1
443,I22,0.002718321,20,30,5.5,2
444,I22,0.002770289,20,30,5.5,3
445,I22,0.001790882,38,10,5.5,1
446,I22,0.001785079,38,10,5.5,2
447,I22,0.001794673,38,10,5.5,3
448,I22,0.002069627,38,30,5.5,1
449,I22,0.002269832,38,30,5.5,2
450,I22,0.002060684,38,30,5.5,3
451,I22,0.003243261,20,15,5.5,1
452,I22,0.003312204,20,15,5.5,2
453,I22,0.003255457,20,15,5.5,3
454,I22,0.002309733,20,35,5.5,1
455,I22,0.00244411,20,35,5.5,2
456,I22,0.002396489,20,35,5.5,3
457,I22,0.002706825,38,15,5.5,1
458,I22,0.002318152,38,15,5.5,2
459,I22,0.002097928,38,15,5.5,3
460,I22,0.002186404,38,35,5.5,1
461,I22,0.002083978,38,35,5.5,2
462,I22,0.001780817,38,35,5.5,3
463,D17,0.002099671,20,0,7.2,1
464,D17,0.002012883,20,0,7.2,2
465,D17,0.002062348,20,0,7.2,3
466,D17,0.001451855,20,20,7.2,1
467,D17,0.001548087,20,20,7.2,2
468,D17,0.001497058,20,20,7.2,3
469,D17,0.002141967,38,0,7.2,1
470,D17,0.002130415,38,0,7.2,2
471,D17,0.002003,38,0,7.2,3
472,D17,0.001787117,38,20,7.2,1
473,D17,0.001933993,38,20,7.2,2
474,D17,0.001572317,38,20,7.2,3
475,D17,0.001778333,20,5,7.2,1
476,D17,0.001722371,20,5,7.2,2
477,D17,0.001736536,20,5,7.2,3
478,D17,0.001509994,20,25,7.2,1
479,D17,0.001465444,20,25,7.2,2
480,D17,0.001378277,20,25,7.2,3
481,D17,0.001688203,38,5,7.2,1
482,D17,0.001674247,38,5,7.2,2
