"","SampleID","Com_Id","Media","Temp","Evo_status","Stress","Diversity","Id","Abundance"
"181","M1.20.C3","Com3","M1",20,NA,"Control","Two","I15",0.0735578895153059
"182","M1.20.C3","Com3","M1",20,NA,"Control","Two","I2",0.000419731181257095
"183","M1.20.C3","Com3","M1",20,NA,"Control","Two","D14",0.000381573801142814
"184","M1.20.C3","Com3","M1",20,NA,"Control","Two","I18",0.000171708210514266
"185","M1.20.C3","Com3","M1",20,NA,"Control","Two","I9",0.0386248080206813
"186","M1.20.C3","Com3","M1",20,NA,"Control","Two","I8",0.847656659893732
"187","M1.20.C3","Com3","M1",20,NA,"Control","Two","D11",8.5854105257133e-05
"188","M1.20.C3","Com3","M1",20,NA,"Control","Two","I20",0.0215112230394261
"189","M1.20.C3","Com3","M1",20,NA,"Control","Two","I11",0.00308120844422822
"190","M1.20.C3","Com3","M1",20,NA,"Control","Two","I23",0.0123057550868557
"191","M1.20.C3","Com3","M1",20,NA,"Control","Two","D17",0.00182201490045693
"192","M1.20.C3","Com3","M1",20,NA,"Control","Two","I22",0.000381573801142814
"193","M1.20.C4","Com4","M1",20,NA,"Control","Two","I20",0.0959787011942271
"194","M1.20.C4","Com4","M1",20,NA,"Control","Two","I2",0.251352723163409
"195","M1.20.C4","Com4","M1",20,NA,"Control","Two","I18",0.590534289736542
"196","M1.20.C4","Com4","M1",20,NA,"Control","Two","D17",0
"197","M1.20.C4","Com4","M1",20,NA,"Control","Two","D11",0.00314119077945585
"198","M1.20.C4","Com4","M1",20,NA,"Control","Two","I22",0.0259818615386089
"199","M1.20.C4","Com4","M1",20,NA,"Control","Two","I11",0
"200","M1.20.C4","Com4","M1",20,NA,"Control","Two","I15",0.0101897164309177
"201","M1.20.C4","Com4","M1",20,NA,"Control","Two","D14",0.00027772723354945
"202","M1.20.C4","Com4","M1",20,NA,"Control","Two","I9",0.00090979610990337
"203","M1.20.C4","Com4","M1",20,NA,"Control","Two","I8",0.00027772723354945
"204","M1.20.C4","Com4","M1",20,NA,"Control","Two","I23",0.021356266579837
"205","M1.20.C5","Com5","M1",20,NA,"Control","Two","I20",0.321866852654478
"206","M1.20.C5","Com5","M1",20,NA,"Control","Two","I2",0.0244358092960693
"207","M1.20.C5","Com5","M1",20,NA,"Control","Two","I8",0.000431757418754878
"208","M1.20.C5","Com5","M1",20,NA,"Control","Two","D17",6.64242182699812e-05
"209","M1.20.C5","Com5","M1",20,NA,"Control","Two","I15",0.0171208422590877
"210","M1.20.C5","Com5","M1",20,NA,"Control","Two","D11",0.00491539215197861
"211","M1.20.C5","Com5","M1",20,NA,"Control","Two","I18",0.0154934489114731
"212","M1.20.C5","Com5","M1",20,NA,"Control","Two","I22",0.0140404191368173
"213","M1.20.C5","Com5","M1",20,NA,"Control","Two","I23",0.563734037430047
"214","M1.20.C5","Com5","M1",20,NA,"Control","Two","I9",0.0378950165230243
