"","Id","Stress","meanGrowth","sdGrowth","SampleID","Com_Id","Media","Temp","Evo_status","Diversity","Abundance"
"118","D14","Sal",0.000285330888888889,9.90653533108882e-05,"M3.20.C15","Com15","M3",20,"Non_evo","Eight",7.45948566846316e-05
"119","D14","SalTemp",0.000781620875,0.000203752653010905,"M3.38.C9","Com9","M3",38,NA,"Four",0.0693936603972116
"120","D14","SalTemp",0.000781620875,0.000203752653010905,"M3.38.C7","Com7","M3",38,NA,"Four",0.0278436162725795
"121","D14","SalTemp",0.000781620875,0.000203752653010905,"M3.38.C1","Com1","M3",38,NA,"Two",0.0458216674600805
"122","D14","SalTemp",0.000781620875,0.000203752653010905,"M3.38.C16","Com16","M3",38,"Non_evo","Eight",0.00486024659356401
"123","D14","SalTemp",0.000781620875,0.000203752653010905,"M3.38.C13","Com13","M3",38,"Non_evo","Eight",0.00072964887674609
"124","D14","SalTemp",0.000781620875,0.000203752653010905,"M3.38.C19","Com19","M3",38,"Non_evo","Eight",0.00140589210962799
"125","D14","SalTemp",0.000781620875,0.000203752653010905,"M3.38.C20","Com20","M3",38,"Non_evo","Eight",0.00145284193672725
"126","D14","SalTemp",0.000781620875,0.000203752653010905,"M3.38.C15","Com15","M3",38,"Non_evo","Eight",0.00184951528593036
"127","D14","Temp",0.00266077788888889,0.000242954536146912,"M1.38.C13","Com13","M1",38,"Non_evo","Eight",0.000516856572301186
"128","D14","Temp",0.00266077788888889,0.000242954536146912,"M1.38.C7","Com7","M1",38,NA,"Four",0.0382866980301311
"129","D14","Temp",0.00266077788888889,0.000242954536146912,"M1.38.C15","Com15","M1",38,"Non_evo","Eight",0.000237344195020366
"130","D14","Temp",0.00266077788888889,0.000242954536146912,"M1.38.C16","Com16","M1",38,"Non_evo","Eight",0.00158557130115945
"131","D14","Temp",0.00266077788888889,0.000242954536146912,"M1.38.C19","Com19","M1",38,"Non_evo","Eight",0.000414399619366276
"132","D14","Temp",0.00266077788888889,0.000242954536146912,"M1.38.C1","Com1","M1",38,NA,"Two",0.00716504047147434
"133","D14","Temp",0.00266077788888889,0.000242954536146912,"M1.38.C9","Com9","M1",38,NA,"Four",0.818179448185966
"134","D14","Temp",0.00266077788888889,0.000242954536146912,"M1.38.C20","Com20","M1",38,"Non_evo","Eight",0.00059922909986072
