Id,estimate,TempLevel,Stress,Rep
I15,0.003753453,34,pH_Sal,2
I15,0.003839077,34,pH_Sal,3
I15,0.000154756,38,pH,3
I15,0.003315876,38,pH_Sal,1
I15,0.003027768,38,pH_Sal,2
I15,0.003220062,38,pH_Sal,3
I15,0.000394922,38,pH,2
I20,0.001502438,15,Control,1
I20,0.002218111,15,Control,2
I20,0.002501219,15,Control,3
I20,0.001603926,15,Sal,1
I20,0.002753023,20,Control,1
I20,0.002702438,20,Control,2
I20,0.002759485,20,Control,3
I20,0.002113582,20,Sal,1
I20,0.002143557,20,Sal,2
I20,0.002150328,20,Sal,3
I20,0.003245252,23,Control,1
I20,0.003074176,23,Control,2
I20,0.003120654,23,Control,3
I20,0.002517229,23,Sal,1
I20,0.002589461,23,Sal,2
I20,0.00260048,23,Sal,3
I20,0.00334906,27,Control,1
I20,0.003291434,27,Control,2
I20,0.003144688,27,Control,3
I20,0.002515627,27,Sal,1
I20,0.002628845,27,Sal,2
I20,0.002500041,27,Sal,3
I20,0.003600915,30,Control,1
I20,0.003506519,30,Control,2
I20,0.00342837,30,Control,3
I20,0.002694132,30,Sal,1
I20,0.00266049,30,Sal,2
I20,0.002631402,30,Sal,3
I20,0.004552892,34,Control,1
I20,0.004081119,34,Control,2
I20,0.003980484,34,Control,3
I20,0.003097168,34,Sal,1
I20,0.002986904,34,Sal,2
I20,0.002981649,34,Sal,3
I20,0.004846412,38,Control,1
I20,0.004432823,38,Control,2
I20,0.004003997,38,Control,3
I20,0.003265858,38,Sal,1
I20,0.003420083,38,Sal,2
I20,0.002872744,38,Sal,3
I20,0.003277042,42,Control,1
I20,0.003542533,42,Control,2
I20,0.003103251,42,Control,3
I20,0.001256956,42,Sal,1
I20,0.001226265,42,Sal,2
I20,0.000895097,42,Sal,3
I20,0.002215018,15,pH,1
I20,0.002244093,15,pH,2
I20,0.002367719,15,pH,3
I20,0.000991123,15,pH_Sal,1
I20,0.001465226,15,pH_Sal,2
I20,0.001414923,15,pH_Sal,3
I20,0.002574157,20,pH,1
I20,0.002542625,20,pH,2
I20,0.002594325,20,pH,3
