Community,Qubit_ug_ml,Com_Id,Media,Temp,Evo_status,SampleID,Stress,Diversity,Sample_Type
296,26.6,Com17,M2,20,Non_evo,M2.20.C17,pH,Eight,Sample
298,19.8,Com18,M2,20,Non_evo,M2.20.C18,pH,Eight,Sample
300,22.4,Com19,M2,20,Non_evo,M2.20.C19,pH,Eight,Sample
6,26.4,Com2,M2,20,NA,M2.20.C2,pH,Two,Sample
302,21.6,Com20,M2,20,Non_evo,M2.20.C20,pH,Eight,Sample
304,35.6,Com21,M2,20,Non_evo,M2.20.C21,pH,Eight,Sample
306,25.6,Com22,M2,20,Non_evo,M2.20.C22,pH,Eight,Sample
10,18.5,Com3,M2,20,NA,M2.20.C3,pH,Two,Sample
15,25.8,Com4,M2,20,NA,M2.20.C4,pH,Two,Sample
19,39.4,Com5,M2,20,NA,M2.20.C5,pH,Two,Sample
23,21.6,Com6,M2,20,NA,M2.20.C6,pH,Two,Sample
28,19.2,Com7,M2,20,NA,M2.20.C7,pH,Four,Sample
32,21.4,Com8,M2,20,NA,M2.20.C8,pH,Four,Sample
36,8.84,Com9,M2,20,NA,M2.20.C9,pH,Four,Sample
288,24,Com13,M2,20,Evo,M2.20.E.C13,pH,Eight,Sample
290,23.4,Com14,M2,20,Evo,M2.20.E.C14,pH,Eight,Sample
292,23,Com15,M2,20,Evo,M2.20.E.C15,pH,Eight,Sample
294,41.6,Com16,M2,20,Evo,M2.20.E.C16,pH,Eight,Sample
297,29.6,Com17,M2,20,Evo,M2.20.E.C17,pH,Eight,Sample
299,18.4,Com18,M2,20,Evo,M2.20.E.C18,pH,Eight,Sample
301,26.8,Com19,M2,20,Evo,M2.20.E.C19,pH,Eight,Sample
303,24.8,Com20,M2,20,Evo,M2.20.E.C20,pH,Eight,Sample
305,28.2,Com21,M2,20,Evo,M2.20.E.C21,pH,Eight,Sample
307,47.6,Com22,M2,20,Evo,M2.20.E.C22,pH,Eight,Sample
308,32.2,I20,M2,20,Evo,M2.20.E.I20,pH,One,Sample
317,14.8,Blank,M2,38,NA,M2.38.Blank,pHTemp,NA,Blank
54,0.134,Com1,M2,38,NA,M2.38.C1,pHTemp,Two,Sample
93,<0.5,Com10,M2,38,NA,M2.38.C10,pHTemp,Four,Sample
97,22.2,Com11,M2,38,NA,M2.38.C11,pHTemp,Four,Sample
101,<0.5,Com12,M2,38,NA,M2.38.C12,pHTemp,Four,Sample
309,22,Com13,M2,38,Non_evo,M2.38.C13,pHTemp,Eight,Sample
311,20,Com14,M2,38,Non_evo,M2.38.C14,pHTemp,Eight,Sample
313,26.2,Com15,M2,38,Non_evo,M2.38.C15,pHTemp,Eight,Sample
315,9.18,Com16,M2,38,Non_evo,M2.38.C16,pHTemp,Eight,Sample
318,18,Com17,M2,38,Non_evo,M2.38.C17,pHTemp,Eight,Sample
320,22.2,Com18,M2,38,Non_evo,M2.38.C18,pHTemp,Eight,Sample
322,27.6,Com19,M2,38,Non_evo,M2.38.C19,pHTemp,Eight,Sample
58,28.2,Com2,M2,38,NA,M2.38.C2,pHTemp,Two,Sample
324,24,Com20,M2,38,Non_evo,M2.38.C20,pHTemp,Eight,Sample
326,12.4,Com21,M2,38,Non_evo,M2.38.C21,pHTemp,Eight,Sample
328,17.9,Com22,M2,38,Non_evo,M2.38.C22,pHTemp,Eight,Sample
62,<0.5,Com3,M2,38,NA,M2.38.C3,pHTemp,Two,Sample
67,<0.5,Com4,M2,38,NA,M2.38.C4,pHTemp,Two,Sample
71,11.1,Com5,M2,38,NA,M2.38.C5,pHTemp,Two,Sample
75,<0.5,Com6,M2,38,NA,M2.38.C6,pHTemp,Two,Sample
80,16.7,Com7,M2,38,NA,M2.38.C7,pHTemp,Four,Sample
84,19.9,Com8,M2,38,NA,M2.38.C8,pHTemp,Four,Sample
88,0.498,Com9,M2,38,NA,M2.38.C9,pHTemp,Four,Sample
310,26.4,Com13,M2,38,Evo,M2.38.E.C13,pHTemp,Eight,Sample
312,26.4,Com14,M2,38,Evo,M2.38.E.C14,pHTemp,Eight,Sample
314,22.2,Com15,M2,38,Evo,M2.38.E.C15,pHTemp,Eight,Sample
316,18.2,Com16,M2,38,Evo,M2.38.E.C16,pHTemp,Eight,Sample
319,22.6,Com17,M2,38,Evo,M2.38.E.C17,pHTemp,Eight,Sample
321,<0.5,Com18,M2,38,Evo,M2.38.E.C18,pHTemp,Eight,Sample
323,27.6,Com19,M2,38,Evo,M2.38.E.C19,pHTemp,Eight,Sample
325,22.2,Com20,M2,38,Evo,M2.38.E.C20,pHTemp,Eight,Sample
